USB-500 Log File,,,,,ConversionTable:,,
Name: RadTel_2,,,,,Index,mA,%
Model: USB-504,,,,,1,0.00000,0.00000
Serial Number: 7104,,,,,2,20.00000,100.00000
Index, Date/Time, Current(%)
124, 9/15/2015 9:31:53 PM,  -289.34
125, 9/15/2015 9:32:03 PM,  -353.37
126, 9/15/2015 9:32:13 PM,  -219.40
127, 9/15/2015 9:32:23 PM,  -251.11
128, 9/15/2015 9:32:33 PM,  -222.47
129, 9/15/2015 9:32:43 PM,  -141.92
130, 9/15/2015 9:32:53 PM,  -244.63
131, 9/15/2015 9:33:03 PM,  -323.52
132, 9/15/2015 9:33:13 PM,  -151.85
133, 9/15/2015 9:33:23 PM,  -202.01
134, 9/15/2015 9:33:33 PM,  -224.10
135, 9/15/2015 9:33:43 PM,  -235.98
136, 9/15/2015 9:33:53 PM,  -173.21
137, 9/15/2015 9:34:03 PM,  -145.65
138, 9/15/2015 9:34:13 PM,  -94.38
139, 9/15/2015 9:34:23 PM,  -188.61
140, 9/15/2015 9:34:33 PM,  -129.58
141, 9/15/2015 9:34:43 PM,  -228.17
142, 9/15/2015 9:34:53 PM,  -251.54
143, 9/15/2015 9:35:03 PM,  -259.99
144, 9/15/2015 9:35:13 PM,  -164.36
145, 9/15/2015 9:35:23 PM,  -195.39
146, 9/15/2015 9:35:33 PM,  -174.47
147, 9/15/2015 9:35:43 PM,  -174.61
148, 9/15/2015 9:35:53 PM,  -201.54
149, 9/15/2015 9:36:03 PM,  -278.14
150, 9/15/2015 9:36:13 PM,  -187.73
151, 9/15/2015 9:36:23 PM,  -247.49
152, 9/15/2015 9:36:33 PM,  -62.38
153, 9/15/2015 9:36:43 PM,  -207.87
154, 9/15/2015 9:36:53 PM,  -161.88
155, 9/15/2015 9:37:03 PM,  -277.48
156, 9/15/2015 9:37:13 PM,  -243.50
157, 9/15/2015 9:37:23 PM,  -201.93
158, 9/15/2015 9:37:33 PM,  -208.49
159, 9/15/2015 9:37:43 PM,  -267.67
160, 9/15/2015 9:37:53 PM,  -266.95
161, 9/15/2015 9:38:03 PM,  -179.93
162, 9/15/2015 9:38:13 PM,  -225.36
163, 9/15/2015 9:38:23 PM,  -182.31
164, 9/15/2015 9:38:33 PM,  -173.35
165, 9/15/2015 9:38:43 PM,  -225.79
166, 9/15/2015 9:38:53 PM,  -227.97
167, 9/15/2015 9:39:03 PM,  -281.31
168, 9/15/2015 9:39:13 PM,  -271.97
169, 9/15/2015 9:39:23 PM,  -166.57
170, 9/15/2015 9:39:33 PM,  -171.19
171, 9/15/2015 9:39:43 PM,  -299.37
172, 9/15/2015 9:39:53 PM,  -263.46
173, 9/15/2015 9:40:03 PM,  -217.06
174, 9/15/2015 9:40:13 PM,  -138.91
175, 9/15/2015 9:40:23 PM,  -189.90
176, 9/15/2015 9:40:33 PM,  -271.71
177, 9/15/2015 9:40:43 PM,  -201.33
178, 9/15/2015 9:40:53 PM,  -203.78
179, 9/15/2015 9:41:03 PM,  -225.20
180, 9/15/2015 9:41:13 PM,  -258.66
181, 9/15/2015 9:41:23 PM,  -132.89
182, 9/15/2015 9:41:33 PM,  -167.22
183, 9/15/2015 9:41:43 PM,  -207.09
184, 9/15/2015 9:41:53 PM,  -179.72
185, 9/15/2015 9:42:03 PM,  -167.56
186, 9/15/2015 9:42:13 PM,  -145.19
187, 9/15/2015 9:42:23 PM,  -304.12
188, 9/15/2015 9:42:33 PM,  -178.25
189, 9/15/2015 9:42:43 PM,  -119.46
190, 9/15/2015 9:42:53 PM,  -205.20
191, 9/15/2015 9:43:03 PM,  -336.55
192, 9/15/2015 9:43:13 PM,  -222.55
193, 9/15/2015 9:43:23 PM,  -247.29
194, 9/15/2015 9:43:33 PM,  -225.70
195, 9/15/2015 9:43:43 PM,  -275.95
196, 9/15/2015 9:43:53 PM,  -291.56
197, 9/15/2015 9:44:03 PM,  -346.91
198, 9/15/2015 9:44:13 PM,  -277.64
199, 9/15/2015 9:44:23 PM,  -181.93
200, 9/15/2015 9:44:33 PM,  -187.46
201, 9/15/2015 9:44:43 PM,  -209.38
202, 9/15/2015 9:44:53 PM,  -243.68
203, 9/15/2015 9:45:03 PM,  -257.57
204, 9/15/2015 9:45:13 PM,  -273.27
205, 9/15/2015 9:45:23 PM,  -91.82
206, 9/15/2015 9:45:33 PM,  -326.24
207, 9/15/2015 9:45:43 PM,  -358.80
208, 9/15/2015 9:45:53 PM,  -342.76
209, 9/15/2015 9:46:03 PM,  -219.76
210, 9/15/2015 9:46:13 PM,  -229.79
211, 9/15/2015 9:46:23 PM,  -212.96
212, 9/15/2015 9:46:33 PM,  -191.09
213, 9/15/2015 9:46:43 PM,  -283.76
214, 9/15/2015 9:46:53 PM,  -328.80
215, 9/15/2015 9:47:03 PM,  -127.95
216, 9/15/2015 9:47:13 PM,  -326.20
217, 9/15/2015 9:47:23 PM,  -284.15
218, 9/15/2015 9:47:33 PM,  -268.64
219, 9/15/2015 9:47:43 PM,  -274.37
220, 9/15/2015 9:47:53 PM,  -230.47
221, 9/15/2015 9:48:03 PM,  -274.29
222, 9/15/2015 9:48:13 PM,  -239.56
223, 9/15/2015 9:48:23 PM,  -214.15
224, 9/15/2015 9:48:33 PM,  -284.61
225, 9/15/2015 9:48:42 PM,  -290.67
226, 9/15/2015 9:48:53 PM,  -281.15
227, 9/15/2015 9:49:03 PM,  -270.19
228, 9/15/2015 9:49:13 PM,  -175.92
229, 9/15/2015 9:49:23 PM,  -160.32
230, 9/15/2015 9:49:33 PM,  -367.13
231, 9/15/2015 9:49:43 PM,  -343.53
232, 9/15/2015 9:49:53 PM,  -220.68
233, 9/15/2015 9:50:03 PM,  -361.85
234, 9/15/2015 9:50:13 PM,  -285.25
235, 9/15/2015 9:50:23 PM,  -291.84
236, 9/15/2015 9:50:33 PM,  -342.99
237, 9/15/2015 9:50:43 PM,  -291.51
238, 9/15/2015 9:50:53 PM,  -358.90
239, 9/15/2015 9:51:03 PM,  -258.96
240, 9/15/2015 9:51:13 PM,  -310.09
241, 9/15/2015 9:51:23 PM,  -340.35
